sample_id,text_length,regret_factor,emotion_joy,emotion_anger,emotion_surprise,emotion_disgust,emotion_sadness,emotion_shame,emotion_fear,bentham_intensity,bentham_duration,bentham_certainty,bentham_propinquity,surd_selection,surd_uncertainty,surd_risk,surd_decision
84,500,0.6,0.1,0.15,0.25,0.05,0.25,0.1,0.1,0.4,0.7,0.3,0.8,0.5,0.7,0.6,0.8
85,500,0.3,0.1,0.05,0.15,0.3,0.1,0.2,0.1,0.4,0.2,0.6,0.8,0.7,0.6,0.3,0.4
86,500,0.2,0.1,0.15,0.2,0.05,0.25,0.15,0.1,0.4,0.7,0.5,0.8,0.3,0.6,0.7,0.8
87,500,0.4,0.05,0.1,0.2,0.05,0.2,0.25,0.15,0.6,0.7,0.8,0.9,0.3,0.7,0.6,0.8
88,500,0.2,0.15,0.05,0.2,0.1,0.2,0.2,0.1,0.7,0.8,0.6,0.4,0.6,0.7,0.5,0.8
89,500,0.3,0.05,0.02,0.15,0.08,0.25,0.2,0.25,0.7,0.6,0.8,0.9,0.3,0.6,0.4,0.5
90,500,0.4,0.1,0.15,0.2,0.05,0.25,0.1,0.15,0.6,0.8,0.3,0.7,0.7,0.8,0.9,0.8
91,500,0.4,0.15,0.2,0.1,0.05,0.3,0.1,0.1,0.7,0.9,0.8,0.9,0.3,0.6,0.5,0.7
92,500,0.2,0.05,0.1,0.25,0.15,0.2,0.15,0.1,0.6,0.3,0.8,0.9,0.4,0.7,0.6,0.5
93,500,0.2,0.05,0.05,0.15,0.1,0.2,0.25,0.2,0.6,0.7,0.8,0.9,0.3,0.7,0.6,0.7
94,500,0.4,0.05,0.1,0.35,0.15,0.15,0.1,0.1,0.6,0.7,0.8,0.9,0.7,0.6,0.8,0.8
95,500,0.3,0.05,0.1,0.15,0.05,0.2,0.25,0.2,0.6,0.3,0.8,0.9,0.8,0.4,0.6,0.7
96,500,0.4,0.15,0.05,0.1,0.05,0.25,0.2,0.2,0.6,0.3,0.8,0.9,0.7,0.3,0.4,0.6
97,500,0.7,0.05,0.15,0.25,0.05,0.2,0.15,0.15,0.6,0.7,0.4,0.8,0.4,0.7,0.6,0.8
98,500,0.3,0.05,0.1,0.25,0.05,0.2,0.25,0.1,0.7,0.8,0.6,0.9,0.7,0.6,0.9,0.8
99,500,0.3,0.05,0.1,0.15,0.1,0.2,0.25,0.15,0.4,0.6,0.8,0.9,0.7,0.4,0.2,0.3
100,500,0.6,0.1,0.15,0.25,0.05,0.2,0.1,0.15,0.7,0.8,0.6,0.9,0.7,0.6,0.5,0.8
101,500,0.85,0.05,0.1,0.2,0.05,0.3,0.15,0.15,0.7,0.8,0.9,0.9,0.6,0.4,0.7,0.8
102,500,0.2,0.0,0.05,0.25,0.15,0.3,0.1,0.15,0.7,0.8,0.85,0.9,0.3,0.4,0.8,0.7
103,500,0.4,0.1,0.2,0.15,0.05,0.3,0.1,0.1,0.4,0.7,0.6,0.8,0.6,0.4,0.3,0.5
104,500,0.3,0.05,0.15,0.1,0.05,0.2,0.25,0.2,0.4,0.7,0.6,0.9,0.8,0.4,0.3,0.5
105,500,0.4,0.05,0.1,0.25,0.05,0.3,0.15,0.1,0.6,0.8,0.4,0.7,0.6,0.8,0.7,0.9
106,500,0.65,0.15,0.05,0.2,0.05,0.2,0.2,0.15,0.6,0.7,0.8,0.9,0.4,0.6,0.7,0.8
107,500,0.3,0.05,0.1,0.15,0.05,0.3,0.25,0.1,0.65,0.8,0.9,0.85,0.4,0.3,0.6,0.7
108,500,0.4,0.1,0.05,0.2,0.05,0.2,0.25,0.15,0.7,0.8,0.6,0.9,0.8,0.6,0.7,0.9
109,291,0.15,0.05,0.1,0.3,0.1,0.15,0.1,0.2,0.4,0.7,0.6,0.9,0.8,0.7,0.6,0.7
110,500,0.6,0.05,0.1,0.15,0.05,0.2,0.25,0.2,0.4,0.5,0.7,0.8,0.7,0.4,0.3,0.5
111,500,0.65,0.05,0.1,0.25,0.15,0.2,0.15,0.1,0.6,0.7,0.4,0.8,0.6,0.7,0.8,0.7
112,500,0.3,0.1,0.15,0.2,0.05,0.25,0.15,0.1,0.4,0.6,0.7,0.8,0.8,0.4,0.3,0.6
113,500,0.65,0.05,0.02,0.15,0.08,0.35,0.2,0.15,0.7,0.4,0.85,0.9,0.8,0.6,0.85,0.9
114,500,0.65,0.05,0.1,0.2,0.05,0.3,0.15,0.15,0.4,0.7,0.8,0.9,0.6,0.4,0.3,0.5
115,500,0.4,0.05,0.02,0.25,0.08,0.15,0.2,0.25,0.6,0.7,0.8,0.9,0.7,0.6,0.8,0.9
116,443,0.65,0.05,0.02,0.35,0.03,0.25,0.15,0.15,0.7,0.8,0.6,0.9,0.4,0.3,0.8,0.6
117,500,0.3,0.1,0.15,0.25,0.05,0.2,0.15,0.1,0.6,0.8,0.4,0.9,0.7,0.8,0.6,0.8
118,500,0.65,0.05,0.1,0.15,0.05,0.3,0.15,0.2,0.4,0.7,0.3,0.8,0.6,0.8,0.3,0.4
119,500,0.4,0.05,0.08,0.15,0.12,0.25,0.15,0.2,0.65,0.7,0.85,0.9,0.6,0.4,0.7,0.8
120,500,0.3,0.4,0.05,0.15,0.1,0.05,0.15,0.1,0.6,0.3,0.7,0.9,0.3,0.6,0.4,0.5
121,500,0.3,0.1,0.05,0.15,0.05,0.2,0.25,0.2,0.7,0.8,0.4,0.9,0.6,0.7,0.8,0.9
122,500,0.8,0.05,0.05,0.25,0.15,0.25,0.15,0.1,0.7,0.4,0.6,0.9,0.4,0.7,0.5,0.6
123,500,0.3,0.05,0.02,0.15,0.08,0.25,0.2,0.25,0.65,0.7,0.8,0.9,0.8,0.4,0.5,0.7
124,500,0.4,0.05,0.15,0.2,0.1,0.25,0.1,0.15,0.6,0.8,0.7,0.9,0.4,0.7,0.5,0.8
125,500,0.3,0.05,0.1,0.0,0.0,0.65,0.1,0.1,0.4,0.5,0.8,0.9,0.3,0.2,0.1,0.4
126,500,0.7,0.05,0.1,0.15,0.05,0.35,0.15,0.15,0.65,0.8,0.75,0.9,0.8,0.4,0.7,0.85
127,500,0.3,0.05,0.05,0.15,0.1,0.35,0.15,0.15,0.6,0.4,0.8,0.9,0.7,0.4,0.3,0.6
128,500,0.3,0.05,0.1,0.15,0.0,0.2,0.3,0.2,0.7,0.8,0.9,0.9,0.4,0.3,0.5,0.7
129,500,0.7,0.05,0.15,0.25,0.05,0.3,0.1,0.1,0.8,0.6,0.4,0.9,0.6,0.8,0.9,0.8
130,500,0.1,0.3,0.2,0.15,0.1,0.15,0.05,0.05,0.4,0.7,0.6,0.8,0.2,0.6,0.3,0.7
131,500,0.45,0.05,0.1,0.25,0.05,0.3,0.15,0.1,0.7,0.8,0.6,0.4,0.3,0.6,0.7,0.8
132,497,0.4,0.1,0.15,0.2,0.05,0.2,0.2,0.1,0.6,0.4,0.7,0.9,0.8,0.5,0.7,0.6
133,500,0.4,0.05,0.1,0.15,0.1,0.2,0.15,0.25,0.7,0.3,0.8,0.9,0.4,0.3,0.5,0.6
134,500,0.3,0.1,0.05,0.15,0.05,0.25,0.25,0.15,0.4,0.3,0.6,0.8,0.7,0.8,0.4,0.6
135,500,0.3,0.1,0.05,0.15,0.05,0.2,0.3,0.15,0.6,0.7,0.8,0.9,0.4,0.6,0.7,0.5
136,500,0.4,0.1,0.15,0.2,0.05,0.3,0.1,0.1,0.4,0.7,0.6,0.8,0.3,0.7,0.5,0.6
137,500,0.4,0.1,0.15,0.2,0.05,0.2,0.15,0.15,0.6,0.7,0.5,0.8,0.8,0.4,0.7,0.8
138,380,0.3,0.05,0.1,0.15,0.0,0.2,0.35,0.15,0.4,0.7,0.8,0.9,0.6,0.4,0.3,0.4
139,500,0.15,0.05,0.02,0.08,0.05,0.25,0.3,0.25,0.75,0.6,0.85,0.9,0.4,0.3,0.5,0.7
140,500,0.8,0.05,0.15,0.25,0.05,0.25,0.15,0.1,0.85,0.9,0.4,0.7,0.6,0.8,0.9,0.95
141,500,0.2,0.05,0.1,0.15,0.05,0.3,0.2,0.15,0.6,0.7,0.8,0.9,0.4,0.3,0.5,0.6
142,500,0.7,0.05,0.15,0.2,0.1,0.25,0.15,0.1,0.8,0.9,0.4,0.7,0.6,0.8,0.7,0.9
143,500,0.4,0.1,0.15,0.2,0.1,0.25,0.1,0.1,0.4,0.5,0.6,0.8,0.7,0.5,0.4,0.6
144,396,0.3,0.1,0.05,0.15,0.05,0.2,0.3,0.15,0.4,0.7,0.8,0.9,0.6,0.3,0.4,0.5
145,474,0.2,0.15,0.2,0.1,0.05,0.25,0.1,0.15,0.4,0.7,0.6,0.8,0.6,0.4,0.5,0.7
146,500,0.2,0.05,0.1,0.15,0.1,0.2,0.25,0.15,0.4,0.3,0.7,0.8,0.6,0.4,0.5,0.7
147,500,0.3,0.05,0.0,0.15,0.2,0.2,0.25,0.15,0.7,0.4,0.8,0.9,0.4,0.3,0.5,0.6
148,500,0.4,0.1,0.15,0.25,0.2,0.15,0.05,0.1,0.6,0.8,0.7,0.9,0.6,0.8,0.7,0.85
149,500,0.35,0.05,0.15,0.12,0.08,0.25,0.2,0.15,0.4,0.8,0.7,0.3,0.6,0.4,0.5,0.8
150,500,0.3,0.1,0.15,0.25,0.2,0.1,0.1,0.1,0.6,0.4,0.7,0.9,0.7,0.6,0.8,0.8
151,500,0.6,0.05,0.15,0.25,0.05,0.25,0.05,0.2,0.7,0.8,0.3,0.9,0.6,0.8,0.7,0.9
152,500,0.3,0.15,0.2,0.1,0.05,0.25,0.15,0.1,0.4,0.6,0.7,0.8,0.6,0.4,0.3,0.5
153,500,0.45,0.1,0.15,0.25,0.05,0.25,0.1,0.1,0.4,0.7,0.6,0.8,0.7,0.6,0.5,0.8
154,500,0.75,0.05,0.08,0.22,0.12,0.35,0.08,0.1,0.65,0.45,0.8,0.7,0.4,0.75,0.8,0.65
155,500,0.2,0.15,0.2,0.05,0.05,0.35,0.1,0.1,0.4,0.7,0.8,0.9,0.6,0.4,0.3,0.5
156,500,0.3,0.05,0.15,0.2,0.05,0.15,0.3,0.1,0.6,0.4,0.7,0.9,0.8,0.4,0.6,0.7
157,500,0.65,0.1,0.15,0.25,0.05,0.25,0.1,0.1,0.4,0.3,0.5,0.8,0.7,0.6,0.4,0.5
158,500,0.7,0.05,0.15,0.25,0.05,0.35,0.05,0.1,0.8,0.9,0.7,0.9,0.3,0.8,0.9,0.9
159,500,0.65,0.15,0.25,0.12,0.05,0.28,0.08,0.07,0.45,0.85,0.3,0.7,0.75,0.65,0.7,0.8
160,500,0.4,0.1,0.05,0.2,0.05,0.2,0.2,0.2,0.6,0.7,0.8,0.9,0.7,0.4,0.5,0.8
161,500,0.7,0.1,0.05,0.25,0.15,0.25,0.1,0.1,0.6,0.4,0.3,0.8,0.6,0.8,0.5,0.4
162,500,0.3,0.05,0.1,0.25,0.05,0.3,0.15,0.1,0.6,0.7,0.8,0.9,0.7,0.6,0.5,0.8
163,500,0.4,0.05,0.1,0.25,0.15,0.2,0.15,0.1,0.6,0.4,0.3,0.7,0.6,0.8,0.7,0.8
164,500,0.8,0.05,0.15,0.2,0.05,0.3,0.1,0.15,0.7,0.8,0.6,0.9,0.6,0.7,0.8,0.9
165,500,0.15,0.05,0.15,0.1,0.1,0.2,0.2,0.2,0.4,0.3,0.8,0.9,0.7,0.3,0.6,0.8
166,500,0.4,0.1,0.05,0.15,0.05,0.3,0.2,0.15,0.6,0.4,0.7,0.9,0.7,0.5,0.4,0.6
167,500,0.65,0.05,0.1,0.15,0.1,0.2,0.2,0.2,0.4,0.3,0.7,0.9,0.8,0.4,0.5,0.6
168,500,0.2,0.05,0.1,0.15,0.1,0.3,0.2,0.1,0.6,0.8,0.7,0.9,0.3,0.7,0.8,0.9
169,500,0.35,0.05,0.08,0.15,0.12,0.25,0.15,0.2,0.65,0.45,0.7,0.85,0.6,0.45,0.4,0.75
170,423,0.3,0.15,0.2,0.1,0.05,0.25,0.15,0.1,0.4,0.6,0.7,0.8,0.7,0.5,0.6,0.5
171,500,0.3,0.05,0.1,0.2,0.05,0.35,0.15,0.1,0.6,0.7,0.8,0.9,0.3,0.6,0.5,0.4
172,500,0.1,0.4,0.3,0.15,0.05,0.05,0.0,0.05,0.6,0.7,0.8,0.3,0.6,0.3,0.2,0.4
173,500,0.2,0.0,0.0,0.05,0.0,0.15,0.45,0.35,0.7,0.6,0.8,0.9,0.3,0.4,0.5,0.7
174,107,0.3,0.05,0.1,0.15,0.1,0.2,0.2,0.2,0.4,0.6,0.3,0.8,0.4,0.7,0.5,0.6
175,500,0.3,0.05,0.02,0.45,0.15,0.08,0.1,0.15,0.7,0.4,0.6,0.9,0.4,0.8,0.75,0.65
176,224,0.15,0.05,0.0,0.1,0.0,0.15,0.3,0.4,0.7,0.4,0.8,0.9,0.8,0.3,0.7,0.6
177,500,0.1,0.05,0.1,0.15,0.1,0.2,0.2,0.2,0.6,0.7,0.8,0.9,0.3,0.4,0.5,0.7
178,500,0.65,0.1,0.15,0.15,0.05,0.25,0.1,0.2,0.7,0.8,0.6,0.9,0.4,0.6,0.5,0.8
179,500,0.15,0.4,0.3,0.1,0.05,0.05,0.05,0.05,0.6,0.8,0.7,0.9,0.7,0.4,0.3,0.6
180,500,0.2,0.1,0.05,0.15,0.1,0.1,0.3,0.2,0.7,0.3,0.8,0.9,0.6,0.4,0.3,0.5
181,500,0.85,0.05,0.15,0.12,0.08,0.35,0.05,0.2,0.7,0.6,0.8,0.9,0.3,0.4,0.7,0.8
182,500,0.45,0.3,0.2,0.15,0.05,0.15,0.05,0.1,0.3,0.6,0.7,0.8,0.6,0.4,0.2,0.3
183,500,0.4,0.1,0.25,0.15,0.05,0.3,0.05,0.1,0.4,0.7,0.6,0.9,0.6,0.4,0.5,0.7
184,500,0.3,0.2,0.15,0.1,0.15,0.25,0.1,0.05,0.4,0.3,0.6,0.8,0.4,0.7,0.3,0.5
185,500,0.65,0.05,0.15,0.2,0.1,0.2,0.15,0.15,0.4,0.6,0.3,0.8,0.7,0.8,0.6,0.5
186,500,0.3,0.05,0.1,0.15,0.1,0.2,0.2,0.2,0.7,0.8,0.9,0.9,0.6,0.4,0.3,0.5
187,500,0.3,0.05,0.1,0.15,0.05,0.2,0.25,0.2,0.6,0.7,0.8,0.9,0.7,0.5,0.6,0.8
188,500,0.3,0.05,0.1,0.25,0.05,0.2,0.25,0.1,0.7,0.4,0.8,0.6,0.8,0.3,0.6,0.7
189,500,0.15,0.05,0.1,0.35,0.15,0.2,0.05,0.1,0.7,0.4,0.8,0.9,0.3,0.8,0.7,0.4
190,500,0.15,0.0,0.05,0.25,0.1,0.2,0.3,0.1,0.8,0.7,0.9,0.9,0.2,0.3,0.7,0.6
191,500,0.3,0.15,0.1,0.2,0.05,0.25,0.15,0.1,0.4,0.7,0.6,0.8,0.6,0.4,0.5,0.7
192,500,0.2,0.3,0.25,0.15,0.05,0.1,0.05,0.1,0.4,0.7,0.6,0.8,0.5,0.7,0.4,0.3
193,500,0.3,0.05,0.1,0.25,0.05,0.2,0.15,0.2,0.7,0.8,0.4,0.9,0.6,0.8,0.85,0.9
194,500,0.4,0.05,0.1,0.25,0.15,0.2,0.15,0.1,0.6,0.8,0.7,0.3,0.4,0.8,0.7,0.6
195,500,0.2,0.05,0.1,0.15,0.2,0.3,0.1,0.1,0.4,0.3,0.8,0.9,0.6,0.4,0.3,0.5
196,500,0.3,0.05,0.08,0.12,0.05,0.35,0.2,0.15,0.7,0.8,0.6,0.9,0.2,0.4,0.6,0.7
197,500,0.3,0.05,0.1,0.25,0.1,0.3,0.1,0.1,0.6,0.7,0.4,0.8,0.4,0.8,0.6,0.7
198,500,0.65,0.02,0.01,0.25,0.05,0.22,0.2,0.25,0.85,0.9,0.75,0.95,0.6,0.45,0.8,0.85
199,500,0.4,0.15,0.05,0.2,0.2,0.15,0.1,0.15,0.3,0.2,0.6,0.8,0.7,0.6,0.5,0.4
200,500,0.2,0.3,0.2,0.15,0.1,0.15,0.05,0.05,0.6,0.7,0.5,0.8,0.7,0.6,0.4,0.6
201,500,0.3,0.05,0.1,0.15,0.1,0.2,0.2,0.2,0.6,0.4,0.7,0.8,0.8,0.4,0.7,0.8
